text,label
i feel sad and hopeless,depression
i feel depressed and tired all the time,depression
i have no energy to do anything,depression
nothing brings me joy anymore,depression
i feel empty inside,depression
life feels meaningless to me,depression
i cry myself to sleep every night,depression
i feel worthless and small,depression
i have lost interest in everything i used to love,depression
i feel like a burden to everyone around me,depression
i cannot get out of bed in the morning,depression
everything feels gray and dull,depression
i hate myself sometimes,depression
i feel numb and disconnected,depression
nobody would notice if i disappeared,depression
i feel hollow and broken,depression
my life has no purpose,depression
i drag myself through each day,depression
i feel anxious and stressed,anxiety
my heart races constantly,anxiety
i cannot stop worrying about everything,anxiety
i feel panic all the time,anxiety
i am scared something bad will happen,anxiety
i overthink every decision,anxiety
my mind will not slow down,anxiety
i feel restless and on edge,anxiety
i keep having anxious thoughts,anxiety
i feel nervous for no reason,anxiety
i feel like something terrible is about to happen,anxiety
i cannot breathe properly when i think about it,anxiety
my hands shake when i am nervous,anxiety
i wake up with my heart pounding,anxiety
i avoid situations that make me anxious,anxiety
i feel dizzy from worry,anxiety
i panic in social situations,anxiety
my anxiety is taking over my life,anxiety
i am overwhelmed with work,stress
too much pressure from studies,stress
i cannot manage everything on my plate,stress
deadlines are crushing me,stress
i feel completely burnt out,stress
work is consuming my whole life,stress
i have so much to do and no time,stress
exam pressure is killing me,stress
i am stretched too thin,stress
there are not enough hours in the day,stress
i am drowning in responsibilities,stress
assignments are piling up faster than i can finish,stress
my workload is impossible,stress
i feel like i am running on empty,stress
the project deadline has me stressed,stress
balancing everything is exhausting,stress
i feel so lonely,loneliness
nobody understands me,loneliness
i have no one to talk to,loneliness
i feel isolated from everyone,loneliness
i feel disconnected from people,loneliness
i have no real friends,loneliness
i sit alone every day,loneliness
nobody checks on me anymore,loneliness
i feel invisible to others,loneliness
i miss having someone to share things with,loneliness
weekends feel so empty without anyone,loneliness
i wish i had close friends to call,loneliness
i eat my meals alone every day,loneliness
everyone seems to have someone except me,loneliness
i am very happy today,positive
life is beautiful right now,positive
i am feeling great,positive
i am excited about my future,positive
today was a really good day,positive
i feel grateful for what i have,positive
i had a wonderful time with friends,positive
i am proud of myself,positive
things are going well for me,positive
i feel calm and content,positive
i had a productive day at work,positive
i am enjoying my time with family,positive
i feel hopeful about tomorrow,positive
i accomplished something meaningful today,positive
i am loving the new opportunities,positive
i feel energized and motivated,positive
i am at peace with myself,positive
life feels good right now,positive
i am not feeling good,depression
i don't feel happy anymore,depression
i am not okay,depression
nothing is going right for me,depression
i don't feel like myself,depression
i can't shake this sadness,depression
i don't have anyone to lean on,loneliness
nobody really cares about me,loneliness
i am not coping well,stress
things are not going well at work,stress
i can't handle this anymore,stress
